<repo>\reproduction\src\modern_gpu.py:98: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\aten\src\ATen\Context.cpp:855.)
  self.kernel = torch.sparse_coo_tensor(
2026-09-22 19:50:19,485 Actual-data GPU equivalence checks passed: max error 0.00146484375
2026-09-22 19:50:55,589 Seed 0 | epoch 79/100 | train 1.033838 | val 1.026153 | elapsed 35.3s
2026-09-22 19:50:56,033 Seed 0 | epoch 80/100 | train 1.030230 | val 1.035408 | elapsed 35.8s
2026-09-22 19:50:56,475 Seed 0 | epoch 81/100 | train 1.026624 | val 1.032293 | elapsed 36.2s
2026-09-22 19:50:56,916 Seed 0 | epoch 82/100 | train 1.034609 | val 1.047917 | elapsed 36.6s
2026-09-22 19:50:57,355 Seed 0 | epoch 83/100 | train 1.029172 | val 1.023310 | elapsed 37.1s
2026-09-22 19:50:57,794 Seed 0 | epoch 84/100 | train 1.032977 | val 1.032678 | elapsed 37.5s
2026-09-22 19:50:58,235 Seed 0 | epoch 85/100 | train 1.030269 | val 1.025687 | elapsed 38.0s
2026-09-22 19:50:58,674 Seed 0 | epoch 86/100 | train 1.030288 | val 1.031893 | elapsed 38.4s
2026-09-22 19:50:59,113 Seed 0 | epoch 87/100 | train 1.026671 | val 1.040061 | elapsed 38.8s
2026-09-22 19:50:59,552 Seed 0 | epoch 88/100 | train 1.030794 | val 1.038696 | elapsed 39.3s
2026-09-22 19:50:59,992 Seed 0 | epoch 89/100 | train 1.034055 | val 1.027847 | elapsed 39.7s
2026-09-22 19:51:00,433 Seed 0 | epoch 90/100 | train 1.033882 | val 1.030562 | elapsed 40.2s
2026-09-22 19:51:00,871 Seed 0 | epoch 91/100 | train 1.031349 | val 1.032859 | elapsed 40.6s
2026-09-22 19:51:01,313 Seed 0 | epoch 92/100 | train 1.034035 | val 1.034536 | elapsed 41.0s
2026-09-22 19:51:01,759 Seed 0 | epoch 93/100 | train 1.030118 | val 1.028050 | elapsed 41.5s
2026-09-22 19:51:02,206 Seed 0 | epoch 94/100 | train 1.036401 | val 1.041137 | elapsed 41.9s
2026-09-22 19:51:02,649 Seed 0 | epoch 95/100 | train 1.030437 | val 1.039397 | elapsed 42.4s
2026-09-22 19:51:03,089 Seed 0 | epoch 96/100 | train 1.031782 | val 1.027038 | elapsed 42.8s
2026-09-22 19:51:03,524 Seed 0 | epoch 97/100 | train 1.032232 | val 1.028735 | elapsed 43.2s
2026-09-22 19:51:03,964 Seed 0 | epoch 98/100 | train 1.028297 | val 1.041263 | elapsed 43.7s
2026-09-22 19:51:04,402 Seed 0 | epoch 99/100 | train 1.031222 | val 1.037542 | elapsed 44.1s
2026-09-22 19:51:04,840 Seed 0 | epoch 100/100 | train 1.032711 | val 1.040773 | elapsed 44.6s
2026-09-22 19:51:04,904 Seed 0 complete; best epoch 23
2026-09-22 19:51:06,279 Seed 1 | epoch 1/100 | train 1.047489 | val 1.041361 | elapsed 0.5s
2026-09-22 19:51:06,737 Seed 1 | epoch 2/100 | train 1.038182 | val 1.044100 | elapsed 0.9s
2026-09-22 19:51:07,201 Seed 1 | epoch 3/100 | train 1.037764 | val 1.038581 | elapsed 1.4s
2026-09-22 19:51:07,654 Seed 1 | epoch 4/100 | train 1.038499 | val 1.033401 | elapsed 1.8s
